Mark,Manu,Type,Model,Serial,MTOW,engnum,Engmanu,Engtype,Engmodel,Fueltype,regType,regholdname,regholdadd1,regholdadd2,regholdSuburb,regholdState,regholdPostcode,regholdCountry,regholdCommdate,regopName,regopadd1,regopadd2,regopSuburb,regopState,regopPostcode,regopCountry,regopCommdate,Datefirstreg,gear,Airframe,CoAcata,CoAcatb,CoAcatc,Propmanu,Propmodel,Typecert,Countrymanu,Yearmanu,Regexpirydate,suspendstatus,suspenddate,ICAOtypedesig,IDERA_Authorised_Party,IDERA_Certified_Designee
LQK,BOMBARDIER INC,,DHC-8-402,4415,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,14-Aug-12,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,14-Aug-12,14-Aug-12,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2012,,,,DH8D,,
LQL,BOMBARDIER INC,,DHC-8-402,4449,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QF DASH 8 LEASING NO.6 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,10-Oct-13,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,10-Oct-13,18-Sep-13,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2013,,,,DH8D,,
LQM,BOMBARDIER INC,,DHC-8-402,4450,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QF DASH 8 LEASING NO.6 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,10-Oct-13,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,10-Oct-13,20-Sep-13,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2013,,,,DH8D,,
LQQ,BOMBARDIER INC,,DHC-8-402,4461,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QF DASH 8 LEASING NO.6 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Aug-14,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,8-Aug-14,8-Aug-14,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2014,,,,DH8D,,
NHA,FOKKER AIRCRAFT B.V.,,F28MK0100,11490,45909,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,21-Jul-16,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,21-Jul-16,2-Jun-16,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1995,,,,F28,,
NHC,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11481,45810,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Aug-15,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,18-Aug-15,18-Aug-15,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHF,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11458,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,11-Jan-13,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,11-Jan-13,11-Jan-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHG,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11514,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-Dec-11,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,22-Dec-11,22-Dec-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1994,,,,F100,,
NHI,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11479,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,1-Mar-13,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,1-Mar-13,1-Mar-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHJ,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11464,45909,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,31-Jul-13,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,31-Jul-13,31-Jul-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHK,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11465,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Jul-12,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,18-Jul-12,18-Jul-12,,Power Driven Aeroplane,Active (Normal),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHM,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11449,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Nov-12,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,27-Nov-12,27-Nov-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHN,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11469,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,19-Apr-12,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,19-Apr-12,19-Apr-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHO,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11312,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Dec-17,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,7-Dec-17,20-Mar-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1990,,,,F100,,
NHP,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11399,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,11-Jan-18,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,11-Jan-18,19-Feb-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1992,,,,F100,,
NHQ,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11506,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,31-Jan-12,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,31-Jan-12,31-Jan-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1994,,,,F100,,
NHV,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11482,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,21-Feb-12,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,21-Feb-12,21-Feb-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHY,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11467,45810,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,23-Jun-15,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,23-Jun-15,23-Jun-15,,Power Driven Aeroplane,,,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NHZ,FOKKER AIRCRAFT B.V.,,F28MK0100,11515,40995,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Oct-16,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,18-Oct-16,13-May-16,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1994,,,,F28,,
NPU,FOKKER AIRCRAFT B.V.,,F28MK0100,11502,45812,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,28-Nov-16,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,28-Nov-16,9-Aug-16,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1994,,,,F28,,
NQE,FOKKER AIRCRAFT B.V.,,F28 MK 0100,11457,43090,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Sep-12,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,7-Sep-12,7-Sep-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1993,,,,F100,,
NQZ,FOKKER AIRCRAFT B.V.,,F28MK0100,11505,45810,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,14-Apr-21,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,14-Apr-21,14-Apr-21,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.037,The Netherlands,1995,,,,F28,,
NXD,THE BOEING COMPANY,,717-200,55062,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Nov-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,24-Nov-15,7-Aug-00,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2000,,,,B712,,
NXE,THE BOEING COMPANY,,717-200,55063,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,12-Oct-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,12-Oct-15,23-Aug-00,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2000,,,,B712,,
NXG,THE BOEING COMPANY,,717-200,55057,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,4-Jan-16,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,4-Jan-16,10-Apr-00,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2000,,,,B712,,
NXH,THE BOEING COMPANY,,717-200,55055,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,17-Dec-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,17-Dec-15,6-Apr-00,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,1999,,,,B712,,
NXI,THE BOEING COMPANY,,717-200,55054,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Nov-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,24-Nov-15,6-Apr-00,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,1999,,,,B712,,
NXJ,THE BOEING COMPANY,,717-200,55166,51710,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715C1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Dec-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,7-Dec-15,11-May-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2003,,,,B712,,
NXK,THE BOEING COMPANY,,717-200,55092,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Sep-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,2-Sep-15,10-May-02,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2000,,,,B712,,
NXL,THE BOEING COMPANY,,717-200,55093,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,15-Sep-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,15-Sep-15,14-May-02,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2001,,,,B712,,
NXM,THE BOEING COMPANY,,717-200,55094,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,16-Oct-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,16-Oct-15,17-May-02,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2001,,,,B712,,
NXN,THE BOEING COMPANY,,717-200,55095,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,16-Oct-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,16-Oct-15,30-Apr-02,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2001,,,,B712,,
NXO,THE BOEING COMPANY,,717-200,55096,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,12-Nov-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,12-Nov-15,30-Apr-02,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2001,,,,B712,,
NXQ,THE BOEING COMPANY,,717-200,55097,53524,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,3-Nov-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,3-Nov-15,30-Apr-02,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2001,,,,B712,,
NXR,THE BOEING COMPANY,,717-200,55168,51710,2,BMW ROLLS ROYCE AERO ENGINES,Turbofan,BR700-715A1-30,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Dec-15,NATIONAL JET SYSTEMS PTY LTD,A QANTAS Group Airline,PO Box 99,Export Park,South Australia,5950,Australia,7-Dec-15,10-Apr-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,United States of America,2003,,,,B712,,
OFE,AIRBUS,,A321-251NX ,9540,97000,2,"CFM INTERNATIONAL, S.A.",Turbofan,LEAP-1A32,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,30-Jun-22,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,30-Jun-22,30-Jun-22,,Power Driven Aeroplane,,,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.064,Germany,2022,,,,A321,,
OQA,AIRBUS INDUSTRIE,,A380-842,14,569000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF BOC 2008-1 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Sep-08,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Sep-08,4-Sep-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2008,,,,A388,,
OQB,AIRBUS INDUSTRIE,,A380-842,15,560000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF BOC 2008-1 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Nov-08,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Nov-08,27-Nov-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2008,,,,A388,,
OQC,AIRBUS INDUSTRIE,,A380-842,22,569000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,17-Jun-22,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,17-Jun-22,27-Nov-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2008,,,,A388,,
OQD,AIRBUS INDUSTRIE,,A380-842,26,560000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,5-Oct-21,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,5-Oct-21,7-Jul-09,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2009,,,,A388,,
OQE,AIRBUS INDUSTRIE,,A380-842,27,560000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,12-Feb-22,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,12-Feb-22,25-Nov-09,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2009,,,,A388,,
OQF,AIRBUS INDUSTRIE,,A380-842,29,560000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF ECA 2008-2 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,1-Dec-09,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,1-Dec-09,1-Dec-09,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2009,,,,A388,,
OQG,AIRBUS INDUSTRIE,,A380-842,47,572000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF ECA A380 2010 NO. 2 PTY LTD,10 Bourke Rd,,MASCOT,NSW,2020,Australia,3-Nov-10,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,3-Nov-10,3-Nov-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2010,,,,A388,,
OQH,AIRBUS INDUSTRIE,,A380-842,50,572000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF ECA A380 2010 NO.4 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,21-Jan-11,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,21-Jan-11,21-Jan-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2010,,,,A388,,
OQI,AIRBUS INDUSTRIE,,A380-842,55,572000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF ECA A380 2010 NO.4 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Nov-10,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Nov-10,18-Nov-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2010,,,,A388,,
OQJ,AIRBUS INDUSTRIE,,A380-842,62,569000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF ECA A380 2010 NO. 2 PTY LTD,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Mar-11,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Mar-11,8-Mar-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2011,,,,A388,,
OQK,AIRBUS INDUSTRIE,,A380-842,63,560000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF ECA A380 2011 NO.2 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,26-Oct-11,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,26-Oct-11,26-Oct-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2011,,,,A388,,
OQL,AIRBUS INDUSTRIE,,A380-842,74,560000,4,ROLLS ROYCE LTD,Turbofan,RB211 Trent 972-84,Kerosene,Full Registration,QF ECA A380 2011 NO.2 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,26-Oct-11,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,26-Oct-11,26-Oct-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,,France,2011,,,,A388,,
QOA,BOMBARDIER INC,,DHC-8-402,4112,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,4-Jan-06,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,4-Jan-06,4-Jan-06,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2005,,,,DH8D,,
